DayOfYear;GlobRad95;Temp95
319;0,88;8,75
320;1,51;9,85
321;3,77;3,67
322;3,23;0,47
323;2,27;3,86
324;4,91;0,24
325;4,89;-0,22
326;3,98;1,05
327;1,12;5,14
328;1,71;7,16
329;2,74;5,35
330;1,96;4,95
331;3,23;3,2
332;1,17;-0,87
333;0,58;0,93
334;0,5;0,5
335;0,92;-1,46
336;0,56;-1,2
337;0,73;-1,3
338;0,73;-2,02
339;1,41;-4,75
340;1,28;-6,38
341;1,74;-3,74
342;2,37;-1,82
343;0,93;-2,52
344;0,89;-0,66
345;0,32;1,28
346;0,18;1,4
347;0,6;-0,6
348;0,18;0,45
349;0,45;-2,83
350;0,35;-3,14
351;0,26;-2,65
352;0,2;-0,6
353;0,3;0,24
354;;
355;;
356;;
357;;
358;;
359;;
360;;
361;;
362;;
363;;
364;;
365;;
